id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
berakna-trigonometri-fardighet,ferdighet,Geometri och skala,Beräkna vinklar och längder med trigonometri,"Eleven kan använda trigonometriska funktioner för att beräkna en okänd vinkel eller sida i en rätvinklig, yrkesrelevant situation, t.ex. en lutning eller höjd.",trigonometri-begrepp,,"Ge eleven en rätvinklig, yrkesrelevant situation (t.ex. lutningen på en ramp eller ett tak) och be hen räkna ut en okänd vinkel eller sida med sinus, cosinus eller tangens."
symmetri-begrepp,begrep,Geometri och skala,Symmetrier,Eleven kan känna igen och beskriva symmetrier i en figur eller ett mönster.,vinkel-begrepp,,
vektor-begrepp,begrep,Geometri och skala,Vektorer,"Eleven vet vad en vektor är (storlek och riktning), och kan ge exempel på en yrkesrelevant storhet som beskrivs med en vektor.",vinkel-begrepp,,
jamvikt-begrepp,begrep,Geometri och skala,Jämvikt,"Eleven vet vad jämvikt innebär i en praktisk, yrkesrelevant situation, och vilka storheter som måste vara i balans.",vektor-begrepp,,
mata-vinkel-praktiskt-fardighet,ferdighet,Geometri och skala,Mäta och kontrollera vinklar praktiskt,Eleven kan mäta en vinkel med ett mätverktyg och bedöma en rimlig avrundning för mätningen.,vinkel-begrepp;avrundning-uppskattning-begrepp,,"Ge eleven en beskrivning av en vinkel som ska mätas i en praktisk situation (eller en ritning med en vinkel) och be hen ange ett rimligt uppmätt värde med lämplig avrundning, och motivera avrundningen."
algebraiskt-uttryck-begrepp,begrep,Algebra och funktioner,Algebraiska uttryck,Eleven vet vad en variabel och ett algebraiskt uttryck är.,,,
forenkla-uttryck-fardighet,ferdighet,Algebra och funktioner,Förenkla och faktorisera uttryck,"Eleven kan hantera formler och algebraiska uttryck, däribland förenkla, multiplicera och faktorisera ett uttryck.",algebraiskt-uttryck-begrepp,,"Ge eleven ett algebraiskt uttryck som ska förenklas, multipliceras ut eller faktoriseras, och be hen visa varje steg."
hantera-formler-fardighet,ferdighet,Algebra och funktioner,Hantera och lösa ut ur en formel,Eleven kan sätta in värden i en yrkesrelevant formel och lösa ut en efterfrågad storhet.,forenkla-uttryck-fardighet,,"Ge eleven en yrkesrelevant formel (t.ex. en area-, volym- eller blandningsformel) med kända värden för alla utom en storhet, och be hen lösa ut den efterfrågade storheten."
funktion-begrepp,begrep,Algebra och funktioner,Funktionsbegreppet,"Eleven vet vad en funktion är, och kan representera en funktion med ord, funktionsuttryck, tabell och graf.",algebraiskt-uttryck-begrepp,,
funktionsvarde-fardighet,ferdighet,Algebra och funktioner,"Bestämma funktionsvärden och lösa f(x)=a grafiskt","Eleven kan bestämma ett funktionsvärde för ett givet x, och lösa en ekvation av typen f(x) = a grafiskt.",funktion-begrepp,,"Ge eleven ett funktionsuttryck och be hen dels räkna ut f(x) för ett givet x, dels avläsa grafiskt för vilket x som f(x) = a för ett givet värde a."
funktionsgraf-digitalt-fardighet,ferdighet,Algebra och funktioner,Skapa och tolka en funktionsgraf digitalt,Eleven kan använda ett digitalt verktyg för att skapa och tolka grafen till en funktion.,funktion-begrepp,,"Ge eleven ett funktionsuttryck och be hen rita grafen i ett digitalt verktyg (t.ex. GeoGebra eller kalkylprogram) och beskriva vad grafen visar, t.ex. var den ökar eller minskar."
linjar-funktion-begrepp,begrep,Algebra och funktioner,Linjär funktion,"Eleven vet vad en linjär funktion är och känner till dess egenskaper: konstant förändring och räta linjens graf.",funktion-begrepp,,
losa-linjar-ekvation-fardighet,ferdighet,Algebra och funktioner,Lösa en linjär ekvation,"Eleven kan lösa en linjär ekvation, för hand och med digitalt verktyg.",linjar-funktion-begrepp;hantera-formler-fardighet,,"Ge eleven en linjär ekvation från en praktisk situation och be hen lösa den både för hand och med ett digitalt verktyg, och jämföra svaren."
exponentialfunktion-begrepp,begrep,Algebra och funktioner,Exponentialfunktion,"Eleven vet vad en exponentialfunktion är och dess egenskaper, och kan förklara skillnader och likheter jämfört med en linjär funktion.",linjar-funktion-begrepp;forandringsfaktor-begrepp,,
berakna-exponentiell-forandring-fardighet,ferdighet,Algebra och funktioner,Beräkna med en exponentialfunktion,"Eleven kan använda en exponentialfunktion för att beräkna en storhet som förändras med en konstant förändringsfaktor över flera steg, t.ex. ränta eller en befolkningsförändring.",exponentialfunktion-begrepp;berakna-forandring-flera-steg-fardighet,,"Ge eleven en situation med upprepad procentuell förändring över flera perioder (t.ex. värdeökning eller -minskning år för år) och be hen sätta upp och räkna med en exponentialfunktion."
kalkylprogram-grundbegrepp,begrep,Ekonomi och digitala verktyg,Kalkylprogram,Eleven vet vad ett kalkylprogram är och kan använda grundläggande formler och beräkningar i det.,,,
berakna-ranta-amortering-fardighet,ferdighet,Ekonomi och digitala verktyg,Beräkna ränta och amortering i kalkylprogram,Eleven kan använda ett kalkylprogram för att beräkna ränta och amortering på ett lån.,kalkylprogram-grundbegrepp;berakna-exponentiell-forandring-fardighet,,"Ge eleven grunddata för ett lån (lånebelopp, ränta, amorteringstid) och be hen sätta upp beräkningen i ett kalkylprogram och tolka resultatet."
vinstmarginal-begrepp,begrep,Ekonomi och digitala verktyg,Vinstmarginal,Eleven vet vad vinstmarginal är och hur den beräknas utifrån intäkter och kostnader.,procent-begrepp,,
berakna-vinstmarginal-fardighet,ferdighet,Ekonomi och digitala verktyg,Beräkna vinstmarginal och indexmått,"Eleven kan beräkna vinstmarginal och tolka ett indexmått i en yrkesrelevant, ekonomisk situation.",vinstmarginal-begrepp,,"Ge eleven intäkter och kostnader för ett yrkesrelevant exempel (t.ex. ett litet företag eller en beställning) och be hen räkna ut vinstmarginalen, samt tolka ett givet indexmått i sammanhanget."
digitalt-verktyg-ekvation-fardighet,ferdighet,Ekonomi och digitala verktyg,Använda digitalt verktyg vid ekvationslösning och problemlösning,"Eleven kan använda ett digitalt verktyg för att effektivisera en beräkning, t.ex. vid ekvationslösning eller ett större problemlösningsproblem.",losa-linjar-ekvation-fardighet;kalkylprogram-grundbegrepp,,"Ge eleven ett problem som är tungrott att lösa för hand (flera ekvationer eller mycket data) och be hen lösa det med ett digitalt verktyg, och förklara vilka steg verktyget gjorde."
sannolikhet-begrepp,begrep,Sannolikhet och statistik,Sannolikhet,Eleven vet vad sannolikhet är och hur den uttrycks som ett tal mellan 0 och 1.,,,
oberoende-beroende-handelse-begrepp,begrep,Sannolikhet och statistik,Oberoende och beroende händelse,"Eleven vet skillnaden mellan en oberoende och en beroende händelse, och vad en komplementhändelse är.",sannolikhet-begrepp,,
berakna-sannolikhet-flera-steg-fardighet,ferdighet,Sannolikhet och statistik,Beräkna sannolikheter i flera steg,"Eleven kan beräkna sannolikheten för en händelse som sker i flera steg, t.ex. vid spel eller en risk- och säkerhetsbedömning.",oberoende-beroende-handelse-begrepp,,"Ge eleven en situation med flera händelser efter varandra (t.ex. ett spel eller en riskbedömning med flera oberoende eller beroende steg) och be hen räkna ut den sammanlagda sannolikheten."
statistiska-begrepp-samhalle-begrepp,begrep,Sannolikhet och statistik,Statistiska begrepp i samhälle och arbetsliv,"Eleven vet vad signifikans, korrelation, kausalitet, urvalsmetod och felkälla betyder, och kan ge exempel på hur de används.",sannolikhet-begrepp,,
kritiskt-granska-statistik-fardighet,ferdighet,Sannolikhet och statistik,Kritiskt granska ett statistiskt påstående,"Eleven kan använda statistiska begrepp, t.ex. skilja korrelation från kausalitet eller bedöma en urvalsmetod, för att kritiskt granska ett påstående i media eller samhällsdebatt.",statistiska-begrepp-samhalle-begrepp,,"Ge eleven ett kort, påhittat nyhets- eller reklampåstående baserat på statistik (t.ex. 'de som äter X lever längre') och be hen granska påståendet kritiskt: vad kan vara en felkälla, och är sambandet nödvändigtvis orsak och verkan?"
matematisk-modell-begrepp,begrep,Problemlösning och modeller,Matematisk modell,Eleven vet vad en matematisk modell är och kan ge exempel på en modell som beskriver en verklig situation.,funktion-begrepp,,
tillampa-matematisk-modell-fardighet,ferdighet,Problemlösning och modeller,Tillämpa och formulera en matematisk modell,"Eleven kan tillämpa och formulera en matematisk modell i en realistisk situation, t.ex. hämtad från arbetslivet, privatekonomin eller samhällslivet.",matematisk-modell-begrepp,,"Ge eleven en realistisk, öppen situation (t.ex. hur kostnaden för en tjänst växer med användningen) och be hen formulera ett funktionsuttryck som modellerar situationen."
utvardera-modell-fardighet,ferdighet,Problemlösning och modeller,Utvärdera en matematisk modells egenskaper och begränsningar,Eleven kan utvärdera vad en given matematisk modell fångar bra och vilka begränsningar den har jämfört med verkligheten.,tillampa-matematisk-modell-fardighet,,"Ge eleven en färdig matematisk modell (t.ex. en linjär modell för något som egentligen planar ut) och be hen resonera om var modellen stämmer bra och var den brister."
upptacka-generella-samband-fardighet,ferdighet,Problemlösning och modeller,Upptäcka och uttrycka generella samband,"Eleven kan utforska ett problem för att upptäcka ett mönster, och uttrycka det som ett generellt samband.",algebraiskt-uttryck-begrepp;funktion-begrepp,,"Ge eleven en talföljd eller ett mönster (t.ex. antal brickor i en växande figur) och be hen hitta och uttrycka det generella sambandet algebraiskt."
losa-hallbar-utveckling-problem-fardighet,ferdighet,Problemlösning och modeller,Lösa problem om hållbar utveckling,"Eleven kan formulera och lösa ett matematiskt problem med utgångspunkt i en frågeställning om hållbar utveckling, arbetsliv, privatekonomi eller samhällsliv.",tillampa-matematisk-modell-fardighet;berakna-vinstmarginal-fardighet,,"Ge eleven en öppen frågeställning kopplad till hållbar utveckling (t.ex. att jämföra kostnad och miljöpåverkan för två alternativ över tid) och be hen formulera och lösa ett matematiskt problem utifrån den."
matematikens-historia-begrepp,begrep,Problemlösning och modeller,Matematikens historia,"Eleven känner till något ur matematikens historia, t.ex. hur ett matematiskt begrepp har utvecklats, en betydande person inom matematiken, eller matematikens roll i en historisk händelse.",,,
