id,type,topic,name,description,depends_on,aids,instruction
potensregresjon-fra-tabell,skill,Potens- og eksponentialfunksjoner,Bestemme en potensmodell ut fra en tabell med data,Eleven kan bruke regresjon på håndholdt kalkulator til å bestemme konstantene a og b i en potensmodell f(x)=a·x^b ut fra en tabell med sammenhørende verdier.,potensfunksjon-begrep,2,Gi eleven en tabell med sammenhørende verdier (f.eks. lengde og vekt for en type fisk) og be dem bruke regresjon på håndholdt kalkulator til å finne en potensmodell f(x)=a·x^b som passer dataene.
prosentvis-endring-ved-potensfunksjon,skill,Potens- og eksponentialfunksjoner,Finne prosentvis endring i en potensmodell når x endres,"Eleven kan bruke en potensmodell til å bestemme hvor mange prosent en funksjonsverdi endrer seg med når x endres med en gitt prosent, ved å bruke potensregelen (1+p)^b.",potensregresjon-fra-tabell;forenkle-potensuttrykk-1t,2,"Gi eleven en potensmodell f(x)=a·x^b og en oppgitt prosentvis endring i x, og be dem regne ut hvor mange prosent funksjonsverdien øker eller minker med."
eksponentialfunksjon-begrep-1t,concept,Potens- og eksponentialfunksjoner,Eksponentialfunksjon,"Eleven vet at en eksponentialfunksjon kan skrives på formen f(x)=b·a^x, og forstår sammenhengen mellom vekstfaktoren a og prosentvis endring per tidsenhet.",forenkle-potensuttrykk-1t;funksjonsbegrep-generelt,0,
eksponentiallikning-lose,skill,Potens- og eksponentialfunksjoner,Løse en eksponentiallikning,"Eleven kan løse en likning på formen a·b^x=c for x, enten ved å bruke likningsløseren på en håndholdt kalkulator eller ved å ta logaritmen på begge sider for hånd, og tolke svaret i konteksten oppgaven beskriver.",eksponentialfunksjon-begrep-1t,2,"Gi eleven en eksponentiell modell og en oppgitt funksjonsverdi, og be dem finne tilhørende x-verdi ved hjelp av kalkulatorens likningsløser eller ved å bruke logaritmer, samt tolke svaret i kontekst."
eksponentiell-modell-fra-to-punkter,skill,Potens- og eksponentialfunksjoner,Sette opp en eksponentiell modell,Eleven kan sette opp en eksponentiell modell f(x)=b·a^x ut fra to kjente punkter eller en beskrevet situasjon med antatt konstant prosentvis endring.,eksponentialfunksjon-begrep-1t,2,"Gi eleven to kjente verdier (f.eks. en bestand på to ulike tidspunkt) og en antakelse om eksponentiell utvikling, og be dem sette opp en eksponentiell modell f(x)=b·a^x."
eksponentiell-regresjon-1t,skill,Potens- og eksponentialfunksjoner,Lage en eksponentiell modell ved regresjon,"Eleven kan bruke regresjon på håndholdt kalkulator til å finne en eksponentiell modell som passer til et datasett, og vurdere hvor godt modellen passer.",eksponentiell-modell-fra-to-punkter,2,"Gi eleven et datasett (f.eks. en tabell med tid og en bestand) og be dem bruke regresjon på håndholdt kalkulator til å finne en eksponentiell modell, med dokumentert fremgangsmåte."
sammenligne-linear-eksponentiell-modell,skill,Potens- og eksponentialfunksjoner,Sammenligne en lineær og en eksponentiell modell for samme datasett,"Eleven kan sette opp både en lineær og en eksponentiell modell for samme datasett ut fra ulike antakelser om utviklingen, sammenligne modellene ved å skissere dem for hånd eller regne ut funksjonsverdier, og forklare hva som skiller antakelsene bak de to modelltypene.",eksponentiell-modell-fra-to-punkter;linear-likning-en-ukjent,2,"Gi eleven to målte verdier fra ulike tidspunkt for en avtakende eller voksende størrelse, og be dem sette opp både en lineær og en eksponentiell modell basert på disse, skissere begge grafene for hånd, og forklare hva modellene sier om utviklingen på lang sikt."
justere-eksponentiell-modell-for-graense,skill,Potens- og eksponentialfunksjoner,Justere en eksponentiell modell for en stabiliseringsgrense,"Eleven kan forklare og gjennomføre en justering av en eksponentiell modell slik at den stabiliserer seg på et gitt nivå i stedet for å gå mot null, og gjøre rede for hvilke antakelser justeringen bygger på.",sammenligne-linear-eksponentiell-modell,2,"Gi eleven en eksponentiell modell som går mot null, og informasjon om at den underliggende størrelsen i stedet forventes å stabilisere seg på et gitt nivå, og be dem forklare og gjennomføre en justering av modellen som fanger opp dette."
stigningstall-sekant,skill,Derivasjon og vekstfart,Bestemme stigningstallet til en sekant,"Eleven kan regne ut stigningstallet til sekanten (den gjennomsnittlige vekstfarten) mellom to punkter på en graf, og tolke svaret praktisk i konteksten.",funksjonsbegrep-generelt,1,"Gi eleven en funksjon og to x-verdier, og be dem bestemme stigningstallet til sekanten mellom de to tilhørende punktene på grafen, og forklare hva svaret betyr i konteksten."
momentan-vekstfart-begrep,concept,Derivasjon og vekstfart,Momentan vekstfart,"Eleven vet at den momentane vekstfarten i et punkt er grenseverdien til gjennomsnittlig vekstfart når intervallet krymper mot null, og at dette er det samme som den deriverte i punktet.",stigningstall-sekant,0,
derivert-definisjon,skill,Derivasjon og vekstfart,Gjøre rede for definisjonen av den deriverte,"Eleven kan gjøre rede for definisjonen av den deriverte som grenseverdien av differansekvotienten når intervallet går mot null, og forklare sammenhengen med stigningstallet til tangenten.",momentan-vekstfart-begrep;grenseverdi-begrep;differansekvotient-begrep,1,"Be eleven forklare, med egne ord og en skisse, hva den deriverte i et punkt er definert som, og hvorfor definisjonen bygger på å la sekanten nærme seg tangenten."
grenseverdi-begrep,concept,Derivasjon og vekstfart,Grenseverdi,"Eleven vet hva en grenseverdi er, og forstår at grenseverdien til en funksjon er verdien funksjonen nærmer seg når x nærmer seg en gitt verdi eller går mot uendelig.",,0,
differansekvotient-begrep,concept,Derivasjon og vekstfart,Differansekvotient,Eleven vet at differansekvotienten (f(x+h)-f(x))/h er den formelle brøken som brukes til å definere den deriverte som en grenseverdi.,grenseverdi-begrep,0,
bestemme-momentan-vekstfart-digitalt,skill,Derivasjon og vekstfart,Bestemme momentan vekstfart med håndholdt kalkulator,"Eleven kan derivere en funksjon for hånd (eventuelt ved å skrive om rasjonale ledd som potensledd med negativ eksponent) og bruke håndholdt kalkulator til å regne ut verdien av den deriverte i et gitt punkt, og gi en praktisk tolkning av svaret.",derivasjonsregler-polynom,2,"Gi eleven en funksjon (gjerne en praktisk modell) og en x-verdi, og be dem derivere funksjonen for hånd og bruke håndholdt kalkulator til å regne ut den momentane vekstfarten i dette punktet, samt forklare hva svaret betyr i praksis."
derivasjonsregler-polynom,skill,Derivasjon og vekstfart,Derivere polynomfunksjoner for hånd,Eleven kan derivere polynomfunksjoner for hånd ved hjelp av derivasjonsregelen for potensfunksjoner og sum-/differanseregelen.,derivert-definisjon,1,"Gi eleven et sett polynomfunksjoner (inkludert ledd med ulike gradtall) og be dem derivere hver av dem for hånd, uten hjelpemidler."
tangentlikning-bestemme,skill,Derivasjon og vekstfart,Bestemme likningen for tangenten i et punkt,"Eleven kan bestemme likningen for tangenten til grafen til en funksjon i et gitt punkt, ved hjelp av den deriverte.",derivasjonsregler-polynom,1,"Gi eleven en funksjon og en x-verdi (eller et punkt på grafen), og be dem bestemme likningen for tangenten i dette punktet, med utregning av den deriverte vist."
lose-likning-med-oppgitt-stigningstall,skill,Derivasjon og vekstfart,Finne punktet der tangenten har et oppgitt stigningstall,"Eleven kan finne punktet eller punktene på en graf der tangenten har et oppgitt stigningstall, ved å løse likningen f'(x)=stigningstallet.",tangentlikning-bestemme,1,"Gi eleven en funksjon og et oppgitt stigningstall, og be dem finne x-verdien(e) der tangenten til grafen har akkurat dette stigningstallet, og forklare betydningen av et resonnement av typen f'(4)=5."
derivere-rasjonal-funksjon-digitalt,skill,Derivasjon og vekstfart,Derivere en rasjonal funksjon for hånd og finne ekstremalpunkter med kalkulator,"Eleven kan derivere en rasjonal funksjon som lar seg skrive om til potensledd (inkludert negative eksponenter) for hånd, og bruke håndholdt kalkulator (numerisk likningsløser) til å løse f'(x)=0 og finne og klassifisere ekstremalpunkter.",derivasjonsregler-polynom;rasjonal-funksjon-begrep;ekstremalpunkt-begrep,2,"Gi eleven en rasjonal funksjon (gjerne en praktisk modell, skrevet slik at den lar seg omskrive til potensledd) og be dem derivere funksjonen for hånd, bruke håndholdt kalkulator til å finne eventuelle ekstremalpunkter, og avgjøre om de er maksimums- eller minimumspunkter."
